run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
0-hotspot-optimistic-2-1000,42,optimistic,hotspot,1000,10000,2,1000,1.1,3143042,318163.10440649535,0,2590913,89497,183750,0,999,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-zipfian-sequential-2-1000,42,sequential,zipfian,1000,10000,2,1000,1.1,2330250,429138.504452312,0,1301177,0,189609,0,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-static-2-1000,42,static,zipfian,1000,10000,2,1000,1.1,20100708,49749.49141094931,663916,2142961,0,622134,1269,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-optimistic-2-1000,42,optimistic,zipfian,1000,10000,2,1000,1.1,4048750,246989.8116702686,0,3060750,85335,239628,0,872,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-token-transfer-sequential-2-1000,42,sequential,token-transfer,1000,10000,2,1000,1.1,2750416,363581.3636918924,0,1291664,0,248012,0,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-static-2-1000,42,static,token-transfer,1000,10000,2,1000,1.1,3843000,260213.37496747333,792167,1608052,0,312284,51,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-optimistic-2-1000,42,optimistic,token-transfer,1000,10000,2,1000,1.1,2539583,393765.43314394524,0,1594600,89394,260134,0,183,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-private-state-sequential-2-1000,42,sequential,private-state,1000,10000,2,1000,1.1,2408875,415131.5448082611,0,1216208,0,199096,0,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-static-2-1000,42,static,private-state,1000,10000,2,1000,1.1,48674875,20544.480083410588,500500,2701082,0,535322,3000,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-optimistic-2-1000,42,optimistic,private-state,1000,10000,2,1000,1.1,3833709,260844.00250514582,0,3025697,91149,244762,0,999,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
