Job started at Sat Jun 20 10:33:51 CST 2026
Host: dribe-00
SLURM_JOB_ID=578276
SLURM_CPUS_PER_TASK=36
Rust: rustc 1.96.0 (ac68faa20 2026-05-25)
Cargo: cargo 1.96.0 (30a34c682 2026-05-25)
Thread matrix: 1,2,4,8,16,32,36
sequential,private-state,1000,8,42,324967.58,correct=Some(true)
static,private-state,1000,8,42,25211.85,correct=Some(true)
optimistic,private-state,1000,8,42,248234.49,correct=Some(true)
sequential,no-conflict,1000,8,43,303081.46,correct=Some(true)
static,no-conflict,1000,8,43,270040.15,correct=Some(true)
optimistic,no-conflict,1000,8,43,362893.03,correct=Some(true)
sequential,hotspot,1000,8,43,370506.77,correct=Some(true)
static,hotspot,1000,8,43,28230.64,correct=Some(true)
optimistic,hotspot,1000,8,43,276204.18,correct=Some(true)
sequential,zipfian,1000,8,43,347964.67,correct=Some(true)
static,zipfian,1000,8,43,66514.05,correct=Some(true)
optimistic,zipfian,1000,8,43,275429.06,correct=Some(true)
sequential,token-transfer,1000,8,43,284259.28,correct=Some(true)
static,token-transfer,1000,8,43,208354.04,correct=Some(true)
optimistic,token-transfer,1000,8,43,347588.03,correct=Some(true)
sequential,private-state,1000,8,43,312143.28,correct=Some(true)
static,private-state,1000,8,43,25114.52,correct=Some(true)
optimistic,private-state,1000,8,43,234678.82,correct=Some(true)
sequential,no-conflict,1000,8,44,297471.46,correct=Some(true)
static,no-conflict,1000,8,44,269207.92,correct=Some(true)
optimistic,no-conflict,1000,8,44,356125.10,correct=Some(true)
sequential,hotspot,1000,8,44,359513.72,correct=Some(true)
static,hotspot,1000,8,44,27740.75,correct=Some(true)
optimistic,hotspot,1000,8,44,268466.97,correct=Some(true)
sequential,zipfian,1000,8,44,345276.09,correct=Some(true)
static,zipfian,1000,8,44,65085.67,correct=Some(true)
optimistic,zipfian,1000,8,44,281771.34,correct=Some(true)
sequential,token-transfer,1000,8,44,283048.29,correct=Some(true)
static,token-transfer,1000,8,44,218803.92,correct=Some(true)
optimistic,token-transfer,1000,8,44,324734.37,correct=Some(true)
sequential,private-state,1000,8,44,305980.04,correct=Some(true)
static,private-state,1000,8,44,27519.92,correct=Some(true)
optimistic,private-state,1000,8,44,240299.36,correct=Some(true)
sequential,no-conflict,1000,16,42,298939.18,correct=Some(true)
static,no-conflict,1000,16,42,244094.38,correct=Some(true)
optimistic,no-conflict,1000,16,42,360506.51,correct=Some(true)
sequential,hotspot,1000,16,42,366962.78,correct=Some(true)
static,hotspot,1000,16,42,26632.02,correct=Some(true)
optimistic,hotspot,1000,16,42,275372.63,correct=Some(true)
sequential,zipfian,1000,16,42,353772.79,correct=Some(true)
static,zipfian,1000,16,42,38433.34,correct=Some(true)
optimistic,zipfian,1000,16,42,297672.03,correct=Some(true)
sequential,token-transfer,1000,16,42,314744.22,correct=Some(true)
static,token-transfer,1000,16,42,202008.16,correct=Some(true)
