run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
2-token-transfer-static-1-1000,44,static,token-transfer,1000,10000,1,1000,1.1,5600139,178566.99628348512,1047018,1673628,0,521619,42,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-optimistic-1-1000,44,optimistic,token-transfer,1000,10000,1,1000,1.1,4030896,248083.8007232139,0,1787400,117381,412893,0,162,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-private-state-sequential-1-1000,44,sequential,private-state,1000,10000,1,1000,1.1,3129394,319550.68617118837,0,1513130,0,318480,0,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-static-1-1000,44,static,private-state,1000,10000,1,1000,1.1,36944261,27067.803575770537,765571,2097673,0,596623,2997,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-optimistic-1-1000,44,optimistic,private-state,1000,10000,1,1000,1.1,4698682,212825.63918988346,0,2836380,156009,281851,0,999,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
0-no-conflict-sequential-2-1000,42,sequential,no-conflict,1000,10000,2,1000,1.1,3279079,304963.6803504887,0,1584980,0,368815,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-static-2-1000,42,static,no-conflict,1000,10000,2,1000,1.1,4132965,241957.04536573624,993456,1732226,0,437144,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-optimistic-2-1000,42,optimistic,no-conflict,1000,10000,2,1000,1.1,3332299,300093.11889479303,0,1819834,104602,412006,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-hotspot-sequential-2-1000,42,sequential,hotspot,1000,10000,2,1000,1.1,2694535,371121.54787375184,0,1461624,0,265860,0,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-static-2-1000,42,static,hotspot,1000,10000,2,1000,1.1,32921620,30375.17594820668,638526,2299893,0,567233,5994,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
